account_id,english_name,dealer_code,year,month,monthly_value,yearly_value,Date 
0979P, Bonuses - Employees,80475,2022,1,0,0,01-01-2022
14000D, Bonuses - Employees,80475,2022,2,0,0,01-02-2022
2100D, Bonuses - Employees,80475,2022,3,0,0,01-03-2022
3341U, Bonuses - Employees,80475,2022,4,0,0,01-04-2022
395LU, Bonuses - Employees,80475,2022,5,0,0,01-05-2022
49000XS, Bonuses - Employees,80475,2022,6,0,0,01-06-2022
50110SD, Bonuses - Employees,80475,2022,7,0,0,01-07-2022
570TP, Bonuses - Employees,80475,2022,8,0,0,01-08-2022
6124DZ, Bonuses - Employees,80475,2022,9,0,0,01-09-2022
8095D, Bonuses - Employees,80475,2022,10,0,0,01-10-2022
8290D, Bonuses - Employees,80475,2022,11,0,0,01-11-2022
8455D, Bonuses - Employees,80475,2022,12,0,0,01-12-2022
0993P, NV Months Supply (Guide 2.5 months),80475,2022,1,11.27,11.27,01-01-2022
1430CU, NV Months Supply (Guide 2.5 months),80475,2022,2,-7.33,3.94,01-02-2022
1990D, NV Months Supply (Guide 2.5 months),80475,2022,3,-1.66,2.28,01-03-2022
3506S, NV Months Supply (Guide 2.5 months),80475,2022,4,-1.06,1.22,01-04-2022
396EU, NV Months Supply (Guide 2.5 months),80475,2022,5,-0.29,0.93,01-05-2022
50005SD, NV Months Supply (Guide 2.5 months),80475,2022,6,0.15,1.08,01-06-2022
5040S, NV Months Supply (Guide 2.5 months),80475,2022,7,0.25,1.33,01-07-2022
6015DZ, NV Months Supply (Guide 2.5 months),80475,2022,8,0.39,1.72,01-08-2022
6105DZ, NV Months Supply (Guide 2.5 months),80475,2022,9,0.87,2.59,01-09-2022
8135D, NV Months Supply (Guide 2.5 months),80475,2022,10,0.07,2.66,01-10-2022
8333D, NV Months Supply (Guide 2.5 months),80475,2022,11,-0.32,2.34,01-11-2022
8473D, NV Months Supply (Guide 2.5 months),80475,2022,12,-0.34,2,01-12-2022
0981P, Taxes - Other,80475,2022,1,0,0,01-01-2022
14000DD, Taxes - Other,80475,2022,2,0,0,01-02-2022
2111D, Taxes - Other,80475,2022,3,0,0,01-03-2022
3381G, Taxes - Other,80475,2022,4,0,0,01-04-2022
396AD, Taxes - Other,80475,2022,5,0,0,01-05-2022
500013SDZ, Taxes - Other,80475,2022,6,0,0,01-06-2022
5010U, Taxes - Other,80475,2022,7,0,0,01-07-2022
570P, Taxes - Other,80475,2022,8,0,0,01-08-2022
6125DZ, Taxes - Other,80475,2022,9,0,0,01-09-2022
8094D, Taxes - Other,80475,2022,10,0,0,01-10-2022
8275D, Taxes - Other,80475,2022,11,0,0,01-11-2022
8460D, Taxes - Other,80475,2022,12,0,0,01-12-2022
0994P, UV Units Sold Per UV Sales Rep.,80475,2022,1,6,6,01-01-2022
1430D, UV Units Sold Per UV Sales Rep.,80475,2022,2,-1,5,01-02-2022
2240D, UV Units Sold Per UV Sales Rep.,80475,2022,3,4,9,01-03-2022
3506S, UV Units Sold Per UV Sales Rep.,80475,2022,4,6,15,01-04-2022
396DD, UV Units Sold Per UV Sales Rep.,80475,2022,5,-9.5,5.5,01-05-2022
50003SDY, UV Units Sold Per UV Sales Rep.,80475,2022,6,-0.5,5,01-06-2022
5041D, UV Units Sold Per UV Sales Rep.,80475,2022,7,-0.5,4.5,01-07-2022
560TP, UV Units Sold Per UV Sales Rep.,80475,2022,8,0,4.5,01-08-2022
6131DZ, UV Units Sold Per UV Sales Rep.,80475,2022,9,0.5,5,01-09-2022
8081D, UV Units Sold Per UV Sales Rep.,80475,2022,10,1.5,6.5,01-10-2022
8333D, UV Units Sold Per UV Sales Rep.,80475,2022,11,-1.5,5,01-11-2022
8473D, UV Units Sold Per UV Sales Rep.,80475,2022,12,-1,4,01-12-2022
0968P,# of Productive Bays,80475,2022,1,0,0,01-01-2022
0989P,# of Productive Bays,80475,2022,1,3,3,01-01-2022
13000AD,# of Productive Bays,80475,2022,2,0,0,01-02-2022
1420QTU,# of Productive Bays,80475,2022,2,3,6,01-02-2022
2200D,# of Productive Bays,80475,2022,3,3,9,01-03-2022
2230D,# of Productive Bays,80475,2022,3,0,0,01-03-2022
3282G,# of Productive Bays,80475,2022,4,0,0,01-04-2022
3500U,# of Productive Bays,80475,2022,4,3,12,01-04-2022
395CU,# of Productive Bays,80475,2022,5,0,0,01-05-2022
396DD,# of Productive Bays,80475,2022,5,3,15,01-05-2022
46000U,# of Productive Bays,80475,2022,6,0,0,01-06-2022
50004SD,# of Productive Bays,80475,2022,6,3,18,01-06-2022
50106SD,# of Productive Bays,80475,2022,7,4,22,01-07-2022
5015G,# of Productive Bays,80475,2022,7,0,0,01-07-2022
5700S,# of Productive Bays,80475,2022,8,3,25,01-08-2022
6004DZ,# of Productive Bays,80475,2022,8,0,0,01-08-2022
6114DZ,# of Productive Bays,80475,2022,9,0,0,01-09-2022
6132DZ,# of Productive Bays,80475,2022,9,3,28,01-09-2022
8083D,# of Productive Bays,80475,2022,10,3,31,01-10-2022
8112D,# of Productive Bays,80475,2022,10,0,0,01-10-2022
8254D,# of Productive Bays,80475,2022,11,3,34,01-11-2022
8332D,# of Productive Bays,80475,2022,11,0,0,01-11-2022
8471D,# of Productive Bays,80475,2022,12,3,37,01-12-2022
8494D,# of Productive Bays,80475,2022,12,0,0,01-12-2022
8999,# of Productive Bays ,80475,2022,1,0,0,01-01-2022
0968P,# of Productive Bays ,80475,2022,1,0,0,01-01-2022
1280AD,# of Productive Bays ,80475,2022,2,0,0,01-02-2022
13000AD,# of Productive Bays ,80475,2022,2,0,0,01-02-2022
1870D,# of Productive Bays ,80475,2022,3,0,0,01-03-2022
200000D,# of Productive Bays ,80475,2022,3,0,0,01-03-2022
3099S,# of Productive Bays ,80475,2022,4,0,0,01-04-2022
3282G,# of Productive Bays ,80475,2022,4,0,0,01-04-2022
392GU,# of Productive Bays ,80475,2022,5,0,0,01-05-2022
395CU,# of Productive Bays ,80475,2022,5,0,0,01-05-2022
4513G,# of Productive Bays ,80475,2022,6,0,0,01-06-2022
46000U,# of Productive Bays ,80475,2022,6,0,0,01-06-2022
5015G,# of Productive Bays ,80475,2022,7,0,0,01-07-2022
5040S,# of Productive Bays ,80475,2022,7,0,0,01-07-2022
6004DZ,# of Productive Bays ,80475,2022,8,0,0,01-08-2022
6014DZ,# of Productive Bays ,80475,2022,8,0,0,01-08-2022
6107DZ,# of Productive Bays ,80475,2022,9,0,0,01-09-2022
6114DZ,# of Productive Bays ,80475,2022,9,0,0,01-09-2022
8112D,# of Productive Bays ,80475,2022,10,0,0,01-10-2022
8133D,# of Productive Bays ,80475,2022,10,0,0,01-10-2022
8313D,# of Productive Bays ,80475,2022,11,0,0,01-11-2022
8331D,# of Productive Bays ,80475,2022,11,0,0,01-11-2022
8480D,# of Productive Bays ,80475,2022,12,0,0,01-12-2022
8494D,# of Productive Bays ,80475,2022,12,0,0,01-12-2022
0991P,# of Working Days,80475,2022,1,0,0,01-01-2022
1420QTU,# of Working Days,80475,2022,2,0,0,01-02-2022
2210D,# of Working Days,80475,2022,3,0,0,01-03-2022
3506G,# of Working Days,80475,2022,4,0,0,01-04-2022
396DU,# of Working Days,80475,2022,5,0,0,01-05-2022
50004SDZ,# of Working Days,80475,2022,6,0,0,01-06-2022
50105SD,# of Working Days,80475,2022,7,0,0,01-07-2022
5700G,# of Working Days,80475,2022,8,0,0,01-08-2022
6133DZ,# of Working Days,80475,2022,9,0,0,01-09-2022
8082D,# of Working Days,80475,2022,10,0,0,01-10-2022
8253D,# of Working Days,80475,2022,11,0,0,01-11-2022
8475D,# of Working Days,80475,2022,12,0,0,01-12-2022
0989P,# of Working Days ,80475,2022,1,26,26,01-01-2022
1420QTU,# of Working Days ,80475,2022,2,20,46,01-02-2022
2200D,# of Working Days ,80475,2022,3,27,73,01-03-2022
3500U,# of Working Days ,80475,2022,4,26,99,01-04-2022
396DU,# of Working Days ,80475,2022,5,26,125,01-05-2022
50004SD,# of Working Days ,80475,2022,6,26,151,01-06-2022
50106SD,# of Working Days ,80475,2022,7,26,177,01-07-2022
5700S,# of Working Days ,80475,2022,8,27,204,01-08-2022
6132DZ,# of Working Days ,80475,2022,9,26,230,01-09-2022
8082D,# of Working Days ,80475,2022,10,27,257,01-10-2022
8254D,# of Working Days ,80475,2022,11,26,283,01-11-2022
8471D,# of Working Days ,80475,2022,12,26,309,01-12-2022
0989P,% of Labour Sales CP,80475,2022,1,56.51,56.51,01-01-2022
0992P,% of Labour Sales CP,80475,2022,1,56.51,56.51,01-01-2022
0993P,% of Labour Sales CP,80475,2022,1,0,0,01-01-2022
1420RTU,% of Labour Sales CP,80475,2022,2,1.03,1.03,01-02-2022
1430CU,% of Labour Sales CP,80475,2022,2,1.18,57.69,01-02-2022
1430TU,% of Labour Sales CP,80475,2022,2,2.22,58.73,01-02-2022
2210D,% of Labour Sales CP,80475,2022,3,0.48,59.21,01-03-2022
2240D,% of Labour Sales CP,80475,2022,3,0.65,58.34,01-03-2022
2240D,% of Labour Sales CP,80475,2022,3,-0.16,0.87,01-03-2022
3282G,% of Labour Sales CP,80475,2022,4,9.58,10.45,01-04-2022
3282G,% of Labour Sales CP,80475,2022,4,9.01,67.35,01-04-2022
3506G,% of Labour Sales CP,80475,2022,4,18.6,77.81,01-04-2022
392FU,% of Labour Sales CP,80475,2022,5,-10.55,67.26,01-05-2022
395CU,% of Labour Sales CP,80475,2022,5,-0.02,67.33,01-05-2022
396ED,% of Labour Sales CP,80475,2022,5,-10.51,-0.06,01-05-2022
46000U,% of Labour Sales CP,80475,2022,6,2.51,2.45,01-06-2022
46000U,% of Labour Sales CP,80475,2022,6,0.53,67.86,01-06-2022
50004SDZ,% of Labour Sales CP,80475,2022,6,3.04,70.3,01-06-2022
50104SDZ,% of Labour Sales CP,80475,2022,7,-4.9,65.4,01-07-2022
5040U,% of Labour Sales CP,80475,2022,7,-0.33,67.53,01-07-2022
5041D,% of Labour Sales CP,80475,2022,7,-4.57,-2.12,01-07-2022
5700G,% of Labour Sales CP,80475,2022,8,4.83,70.23,01-08-2022
6014DZ,% of Labour Sales CP,80475,2022,8,0.4,67.93,01-08-2022
6015DZ,% of Labour Sales CP,80475,2022,8,4.42,2.3,01-08-2022
6105DZ,% of Labour Sales CP,80475,2022,9,-0.67,67.26,01-09-2022
6106DZ,% of Labour Sales CP,80475,2022,9,-7.25,-4.95,01-09-2022
6106DZ,% of Labour Sales CP,80475,2022,9,-7.92,62.31,01-09-2022
8082D,% of Labour Sales CP,80475,2022,10,1.53,63.84,01-10-2022
8134D,% of Labour Sales CP,80475,2022,10,1.96,-2.99,01-10-2022
8134D,% of Labour Sales CP,80475,2022,10,-0.43,66.83,01-10-2022
8313D,% of Labour Sales CP,80475,2022,11,11.27,8.28,01-11-2022
8332D,% of Labour Sales CP,80475,2022,11,1.31,68.14,01-11-2022
8333D,% of Labour Sales CP,80475,2022,11,12.58,76.42,01-11-2022
8473D,% of Labour Sales CP,80475,2022,12,-16.36,60.06,01-12-2022
8474D,% of Labour Sales CP,80475,2022,12,-15.8,-7.52,01-12-2022
8474D,% of Labour Sales CP,80475,2022,12,-0.56,67.58,01-12-2022
0968P,% of Labour Sales CPO Warranty,80475,2022,1,0,0,01-01-2022
0993P,% of Labour Sales CPO Warranty,80475,2022,1,0,0,01-01-2022
0994P,% of Labour Sales CPO Warranty,80475,2022,1,0,0,01-01-2022
1430CU,% of Labour Sales CPO Warranty,80475,2022,2,0,0,01-02-2022
1430D,% of Labour Sales CPO Warranty,80475,2022,2,0,0,01-02-2022
1430TU,% of Labour Sales CPO Warranty,80475,2022,2,0,0,01-02-2022
2230D,% of Labour Sales CPO Warranty,80475,2022,3,0,0,01-03-2022
2230D,% of Labour Sales CPO Warranty,80475,2022,3,0,0,01-03-2022
2240D,% of Labour Sales CPO Warranty,80475,2022,3,0,0,01-03-2022
3099G,% of Labour Sales CPO Warranty,80475,2022,4,0,0,01-04-2022
3282G,% of Labour Sales CPO Warranty,80475,2022,4,0,0,01-04-2022
3506G,% of Labour Sales CPO Warranty,80475,2022,4,0,0,01-04-2022
392FU,% of Labour Sales CPO Warranty,80475,2022,5,0,0,01-05-2022
395CU,% of Labour Sales CPO Warranty,80475,2022,5,0,0,01-05-2022
395CU,% of Labour Sales CPO Warranty,80475,2022,5,0,0,01-05-2022
45000U,% of Labour Sales CPO Warranty,80475,2022,6,0,0,01-06-2022
46000U,% of Labour Sales CPO Warranty,80475,2022,6,0,0,01-06-2022
46000U,% of Labour Sales CPO Warranty,80475,2022,6,0,0,01-06-2022
5040S,% of Labour Sales CPO Warranty,80475,2022,7,0,0,01-07-2022
5040U,% of Labour Sales CPO Warranty,80475,2022,7,0,0,01-07-2022
5041D,% of Labour Sales CPO Warranty,80475,2022,7,0,0,01-07-2022
560TP,% of Labour Sales CPO Warranty,80475,2022,8,0,0,01-08-2022
6016DZ,% of Labour Sales CPO Warranty,80475,2022,8,0,0,01-08-2022
6016DZ,% of Labour Sales CPO Warranty,80475,2022,8,0,0,01-08-2022
6105DZ,% of Labour Sales CPO Warranty,80475,2022,9,0,0,01-09-2022
6134DZ,% of Labour Sales CPO Warranty,80475,2022,9,0,0,01-09-2022
6134DZ,% of Labour Sales CPO Warranty,80475,2022,9,0,0,01-09-2022
8081D,% of Labour Sales CPO Warranty,80475,2022,10,0,0,01-10-2022
8082D,% of Labour Sales CPO Warranty,80475,2022,10,0,0,01-10-2022
8112D,% of Labour Sales CPO Warranty,80475,2022,10,0,0,01-10-2022
8253D,% of Labour Sales CPO Warranty,80475,2022,11,0,0,01-11-2022
8313D,% of Labour Sales CPO Warranty,80475,2022,11,0,0,01-11-2022
8332D,% of Labour Sales CPO Warranty,80475,2022,11,0,0,01-11-2022
8472D,% of Labour Sales CPO Warranty,80475,2022,12,0,0,01-12-2022
8473D,% of Labour Sales CPO Warranty,80475,2022,12,0,0,01-12-2022
8474D,% of Labour Sales CPO Warranty,80475,2022,12,0,0,01-12-2022
0968P,% of Labour Sales DCP,80475,2022,1,0,0,01-01-2022
0993P,% of Labour Sales DCP,80475,2022,1,0,0,01-01-2022
0994P,% of Labour Sales DCP,80475,2022,1,0,0,01-01-2022
1420RTU,% of Labour Sales DCP,80475,2022,2,0,0,01-02-2022
1430CU,% of Labour Sales DCP,80475,2022,2,0,0,01-02-2022
1430TU,% of Labour Sales DCP,80475,2022,2,0,0,01-02-2022
2210D,% of Labour Sales DCP,80475,2022,3,0,0,01-03-2022
2220D,% of Labour Sales DCP,80475,2022,3,0,0,01-03-2022
2230D,% of Labour Sales DCP,80475,2022,3,0,0,01-03-2022
3282G,% of Labour Sales DCP,80475,2022,4,0,0,01-04-2022
3282G,% of Labour Sales DCP,80475,2022,4,0,0,01-04-2022
3506G,% of Labour Sales DCP,80475,2022,4,0,0,01-04-2022
395CU,% of Labour Sales DCP,80475,2022,5,0,0,01-05-2022
395CU,% of Labour Sales DCP,80475,2022,5,0,0,01-05-2022
396DU,% of Labour Sales DCP,80475,2022,5,0,0,01-05-2022
4511G,% of Labour Sales DCP,80475,2022,6,0,0,01-06-2022
4512G,% of Labour Sales DCP,80475,2022,6,0,0,01-06-2022
4512G,% of Labour Sales DCP,80475,2022,6,0,0,01-06-2022
50104SDZ,% of Labour Sales DCP,80475,2022,7,0,0,01-07-2022
5040S,% of Labour Sales DCP,80475,2022,7,0,0,01-07-2022
5041D,% of Labour Sales DCP,80475,2022,7,0,0,01-07-2022
560TP,% of Labour Sales DCP,80475,2022,8,0,0,01-08-2022
5700G,% of Labour Sales DCP,80475,2022,8,0,0,01-08-2022
6015DZ,% of Labour Sales DCP,80475,2022,8,0,0,01-08-2022
6105DZ,% of Labour Sales DCP,80475,2022,9,0,0,01-09-2022
6106DZ,% of Labour Sales DCP,80475,2022,9,0,0,01-09-2022
6114DZ,% of Labour Sales DCP,80475,2022,9,0,0,01-09-2022
8082D,% of Labour Sales DCP,80475,2022,10,0,0,01-10-2022
8112D,% of Labour Sales DCP,80475,2022,10,0,0,01-10-2022
8133D,% of Labour Sales DCP,80475,2022,10,0,0,01-10-2022
8252D,% of Labour Sales DCP,80475,2022,11,0,0,01-11-2022
8313D,% of Labour Sales DCP,80475,2022,11,0,0,01-11-2022
8313D,% of Labour Sales DCP,80475,2022,11,0,0,01-11-2022
8472D,% of Labour Sales DCP,80475,2022,12,0,0,01-12-2022
8475D,% of Labour Sales DCP,80475,2022,12,0,0,01-12-2022
8493D,% of Labour Sales DCP,80475,2022,12,0,0,01-12-2022
0992P,% of Labour Sales Internal,80475,2022,1,0,0,01-01-2022
